Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Google Search Suite,Chrome 62.0.3202.62,,2018-10-31 22:17:18,2018-10-31 22:17:47,29.161s,PASSED
,,,,,,
Test Cases/Google Search,Chrome 62.0.3202.62,,2018-10-31 22:17:19,2018-10-31 22:17:47,28.506s,PASSED
openBrowser,Chrome 62.0.3202.62,,2018-10-31 22:17:19,2018-10-31 22:17:37,17.701s,PASSED
navigateToUrl,Chrome 62.0.3202.62,,2018-10-31 22:17:37,2018-10-31 22:17:42,5.047s,PASSED
setText,Chrome 62.0.3202.62,,2018-10-31 22:17:42,2018-10-31 22:17:43,0.520s,PASSED
sendKeys,Chrome 62.0.3202.62,,2018-10-31 22:17:43,2018-10-31 22:17:43,0.221s,PASSED
click,Chrome 62.0.3202.62,,2018-10-31 22:17:43,2018-10-31 22:17:43,0.167s,PASSED
click,Chrome 62.0.3202.62,,2018-10-31 22:17:43,2018-10-31 22:17:46,3.049s,PASSED
closeBrowser,Chrome 62.0.3202.62,,2018-10-31 22:17:46,2018-10-31 22:17:47,1.194s,PASSED
closeBrowser,Chrome 62.0.3202.62,,2018-10-31 22:17:47,2018-10-31 22:17:47,0.003s,PASSED
